ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile
Abraham_Lincoln,Was Abraham Lincoln the sixteenth President of the United States?,yes,easy,easy,S08_set3_a4
Abraham_Lincoln,Did Lincoln sign the National Banking Act of 1863?,yes,easy,medium,S08_set3_a4
Abraham_Lincoln,Did his mother die of pneumonia?,no,easy,medium,S08_set3_a4
Abraham_Lincoln,How many long was Lincoln's formal education?,18 months,medium,easy,S08_set3_a4
Abraham_Lincoln,When did Lincoln begin his political career?,1832,medium,easy,S08_set3_a4
Abraham_Lincoln,What did The Legal Tender Act of 1862 establish?,"the United States Note, the first paper currency in United States history",medium,easy,S08_set3_a4
Abraham_Lincoln,Who suggested Lincoln grow a beard?,11-year-old Grace Bedell,hard,medium,S08_set3_a4
Abraham_Lincoln,When did the Gettysburg address argue that America was born?,1776,hard,hard,S08_set3_a4
Abraham_Lincoln,Did Lincoln beat John C. Breckinridge in the 1860 election?,yes,hard,medium,S08_set3_a4
Abraham_Lincoln,Was Abraham Lincoln the first President of the United States?,No,easy,easy,S08_set3_a4
Abraham_Lincoln,Did Lincoln start his political career in 1832?,Yes,easy,easy,S08_set3_a4
Abraham_Lincoln,Did Lincoln ever represent Alton & Sangamon Railroad?,Yes,easy,easy,S08_set3_a4
Abraham_Lincoln,Which county was Lincoln born in?,Hardin County,medium,medium,S08_set3_a4
Abraham_Lincoln,When did Lincoln first serve as President?,"March 4, 1861",medium,hard,S08_set3_a4
Abraham_Lincoln,Who assassinated Lincoln?,John Wilkes Booth,medium,hard,S08_set3_a4
Abraham_Lincoln,Did Lincoln win the election of 1860?,Yes,hard,hard,S08_set3_a4
Abraham_Lincoln,Who was the general in charge at the Battle of Antietam?,General McClellan,hard,medium,S08_set3_a4
Abraham_Lincoln,Why did Lincoln issue the Emancipation Proclamation?,To free slaves ,hard,hard,S08_set3_a4
Abraham_Lincoln,Do scholars rank lincoln among the top three presidents?,Yes,easy,easy,S08_set3_a4
Abraham_Lincoln,Did lincoln have 18 months of schooling?,Yes,easy,easy,S08_set3_a4
